model,condition,kind,label,tp,fp,fn,precision,recall,f1
Sol,author_full,relation,LocatedAt,241,149,131,0.617948717948718,0.6478494623655914,0.6325459317585301
Sol,author_full,relation,SuggestiveOf,35,41,29,0.4605263157894737,0.546875,0.5
Sol,author_full_joint,entity,ANAT,656,72,31,0.9010989010989011,0.9548762736535662,0.927208480565371
Sol,author_full_joint,entity,OBS-DP,423,66,174,0.8650306748466258,0.7085427135678392,0.7790055248618785
Sol,author_full_joint,entity,OBS-DA,185,7,20,0.9635416666666666,0.9024390243902439,0.9319899244332494
Sol,author_full_joint,entity,OBS-U,81,68,16,0.5436241610738255,0.8350515463917526,0.6585365853658537
Sol,author_full_joint,relation,Modify,490,210,241,0.7,0.6703146374829001,0.6848357791754018
Sol,author_full_joint,relation,LocatedAt,239,160,133,0.5989974937343359,0.6424731182795699,0.6199740596627756
Sol,author_full_joint,relation,SuggestiveOf,34,38,30,0.4722222222222222,0.53125,0.4999999999999999
Sol,human_joint,entity,ANAT,609,53,78,0.9199395770392749,0.8864628820960698,0.9028910303928835
Sol,human_joint,entity,OBS-DP,474,189,123,0.7149321266968326,0.7939698492462312,0.7523809523809524
Sol,human_joint,entity,OBS-DA,130,4,75,0.9701492537313433,0.6341463414634146,0.7669616519174042
Sol,human_joint,entity,OBS-U,51,38,46,0.5730337078651685,0.5257731958762887,0.5483870967741935
Sol,human_joint,relation,Modify,389,304,342,0.5613275613275613,0.5321477428180574,0.5463483146067416
Sol,human_joint,relation,LocatedAt,238,161,134,0.5964912280701754,0.6397849462365591,0.6173800259403373
Sol,human_joint,relation,SuggestiveOf,30,44,34,0.40540540540540543,0.46875,0.43478260869565216
